SNo,Prime Minister,Date of birth,Start date,Age at beginning,End date,Total time,Date of death,Lifespan
41,Winston Churchill,30 November 1874,10 May 1940,"65 years, 162 days",7 April 1955,"3,162 days",24-Jan-65,"32,927 days (90 years, 55 days)"
42,Clement Attlee,3 January 1883,26 July 1945,"62 years, 204 days",26 October 1951,"2,283 days",08-Oct-67,"30,958 days (84 years, 278 days)"
43,Anthony Eden,12 June 1897,7 April 1955,"57 years, 299 days",10 January 1957,644 days,14-Jan-77,"29,070 days (79 years, 216 days)"
44,Harold Macmillan,10 February 1894,10 January 1957,"62 years, 335 days",18 October 1963,"2,472 days",29-Dec-86,"33,924 days (92 years, 322 days)"
45,Alec Douglas-Home,02-Jul-03,18 October 1963,"60 years, 108 days",16 October 1964,364 days,09-Oct-95,"33,702 days (92 years, 99 days)"
46,Harold Wilson,11-Mar-16,16 October 1964,"48 years, 219 days",5 April 1976,"2,835 days",24-May-95,"28,928 days (79 years, 74 days)"
47,Edward Heath,09-Jul-16,19 June 1970,"53 years, 345 days",4 March 1974,"1,354 days",17-Jul-05,"32,515 days (89 years, 8 days)"
48,James Callaghan,27-Mar-12,5 April 1976,"64 years, 9 days",4 May 1979,"1,124 days",26-Mar-05,"33,967 days (92 years, 364 days)"
49,Margaret Thatcher,13-Oct-25,4 May 1979,"53 years, 203 days",28 November 1990,"4,226 days",08-Apr-13,"31,954 days (87 years, 177 days)"
50,John Major,29-Mar-43,28 November 1990,"47 years, 244 days",2 May 1997,"2,347 days",,"25,888 days (70 years, 320 days)"
51,Tony Blair,06-May-53,2 May 1997,"43 years, 361 days",27 June 2007,"3,708 days",,"22,197 days (60 years, 282 days)"
52,Gordon Brown,20-Feb-51,27 June 2007,"56 years, 127 days",11 May 2010,"1,049 days",,"23,003 days (62 years, 357 days)"
53,David Cameron,09-Oct-66,11 May 2010,"43 years, 214 days",Incumbent,"1,373 days",,"17,293 days (47 years, 126 days)"
,,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,,
,,,,,,,,
Original source : en.wikipedia.org/wiki/List_of_Prime_Ministers_of_the_United_Kingdom_by_longevity,,,,,,,,
